15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:51.240866 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 679931, win 45259, length 0
15:43:51.240965 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 682851, win 42339, length 0
15:43:51.241112 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 685771, win 39419, length 0
15:43:51.241252 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 688691, win 36499, length 0
15:43:51.241530 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 691325, win 33865, length 0
15:43:51.242648 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 691325, win 64240, length 0
15:43:51.334563 IP 128.226.20.105.http > 192.168.48.128.1111: Flags [P.], seq 1:618, ack 785, win 64240, length 617
15:43:51.335975 IP 192.168.48.128.1111 > 128.226.20.105.http: Flags [.], ack 618, win 63623, length 0
15:43:51.390429 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [P.], seq 3582:4458, ack 691325, win 64240, length 876
15:43:51.390922 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], ack 4458, win 64240, length 0
15:43:51.418917 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 691325:691564, ack 4458, win 64240, length 239
15:43:51.461362 IP 192.168.48.128.1112 > 204.79.197.200.http: Flags [S], seq 4089979728, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:51.485780 IP 204.79.197.200.http > 192.168.48.128.1112: Flags [S.], seq 986145336, ack 4089979729, win 64240, options [mss 1460], length 0
15:43:51.486048 IP 192.168.48.128.1112 > 204.79.197.200.http: Flags [R], seq 4089979729, win 0, length 0
15:43:51.518801 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 691325:691564, ack 4458, win 64240, length 239
15:43:51.519049 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 691564, win 64001, length 0

